Company_name,Company_type
Walmart,Retail
Amazon,E-commerce
Apple,Technology
CVS Health,Pharmacy
UnitedHealth Group,Healthcare
Exxon Mobil,Oil
Berkshire Hathaway,Conglomerate
Alphabet,Technology
McKesson,Pharmaceutical
AmerisourceBergen,Pharmaceutical
Costco Wholesale,Retail
Cigna,Insurance
AT&T,Telecommunications
Microsoft,Technology
Cardinal Health,Pharmaceutical
Chevron,Oil
Home Depot,Retail
Walgreens Boots Alliance,Pharmacy
Marathon Petroleum,Oil
Anthem,Insurance
Kroger,Grocery
Ford Motor,Automotive
Verizon Communications,Telecommunications
JPMorgan Chase,Bank
General Motors,Automotive
Centene,Healthcare
Meta Platforms,Technology
Comcast,Telecommunications
Phillips 66,Oil
Valero Energy,Energy
Dell Technologies,Technology
Target,Retail
Fannie Mae,Finance
UPS,Logistics
Lowe's,Retail
Bank of America,Bank
Johnson & Johnson,Pharmaceutical
Archer Daniels Midland,Agricultural
FedEx,Logistics
Humana,Insurance
Wells Fargo,Bank
State Farm Insurance,Insurance
Pfizer,Pharmaceutical
Citigroup,Bank
PepsiCo,Beverage
Intel,Technology
Procter & Gamble,Consumer Goods
General Electric,Conglomerate
IBM,Technology
MetLife,Insurance
Prudential Financial,Insurance
Albertsons,Grocery
Walt Disney,Entertainment
Energy Transfer,Energy Transfer: Energy company
Lockheed Martin,Defense
Freddie Mac,Finance
Goldman Sachs Group,Banking
Raytheon Technologies,Technology
HP,Technology
Boeing,Aerospace
Morgan Stanley,Financial
HCA Healthcare,Healthcare
AbbVie,Pharmaceutical
Dow,Chemical
Tesla,Automotive
Allstate,Insurance
AIG,Insurance
Best Buy,Retail
Charter Communications,Telecommunications
Sysco,Distributor
Merck,Pharmaceutical
New York Life Insurance,Insurance
Caterpillar,Manufacturing
Cisco Systems,Technology
TJX,Retail
Publix Super Markets,Retail
ConocoPhillips,Energy
Liberty Mutual Insurance Group,Insurance
Progressive,Insurance
Nationwide,Insurance
Tyson Foods,Food
Bristol-Myers Squibb,Pharmaceutical
Nike,Retail
Deere,Agricultural
American Express,Financial
Abbott Laboratories,Pharmaceutical
StoneX Group,Financial
Plains GP Holdings,Energy
Enterprise Products Partners,Energy
TIAA,Financial
Oracle,Technology
Thermo Fisher Scientific,Scientific
Coca-Cola,Beverage
General Dynamics,Defense
CHS,Agricultural
USAA,Insurance
Northwestern Mutual,Insurance
Nucor,Steel
Exelon,Energy
Massachusetts Mutual Life Insurance,Insurance
Northrop Grumman,Defense
3M,Manufacturing
Travelers,Tourism
Arrow Electronics,Distributor
